# doc = расшифровка_Роман.2.txt,,,,,,,,,,,,,,,,
# speaker = Роман,,,,,,,,,,,,,,,,
# sent = 2810,,,,,,,,,,,,,,,,
</span>,,,,,,,,,,,,,,,,
,.,.,PUNCT,,,,,,,,,,PUNCT,,,
,,,,,,,,,,,,,,,,
# sent = 2823,,,,,,,,,,,,,,,,
,Ну,НУ,PART,,,".   _Ну_ , я узнал",у,н,,,,,PART,НУ,PART,У
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,я,Я,SPRO sg 1p - nom,,,"Ну , _я_ узнал очень важную",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
,узнал,УЗНАТЬ,V pf act praet sg indic m -,,,"Ну , я _узнал_ очень важную вещь",л,а,н,з,у,,V,УЗНАТЬ,V pf praet sg indic m -,Ь
,очень,ОЧЕНЬ,ADV -,,,", я узнал _очень_ важную вещь :",ь,н,е,ч,о,,ADV,ОЧЕНЬ,ADV -,Ь
,важную,ВАЖНЫЙ,A - acc sg plen f -,,,я узнал очень _важную_ вещь : оказывается,ю,у,н,ж,а,в,A,ВАЖНЫЙ,A - acc sg plen f -,Й
,вещь,ВЕЩЬ,S f inan acc sg,,,"узнал очень важную _вещь_ : оказывается ,",ь,щ,е,в,,,S,ВЕЩЬ,S f inan acc sg,Ь
,:,:,PUNCT,,,,,,,,,,PUNCT,,,
,оказывается,ОКАЗЫВАТЬСЯ,V ipf praes sg indic - 3p,,,"важную вещь : _оказывается_ , Нойз МС",я,с,т,е,а,в,V,ОКАЗЫВАТЬСЯ,V ipf praes sg indic - 3p,Я
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,Нойз,НОЙЗ,S m anim nom sg,,,": оказывается , _Нойз_ МС делает не",з,й,о,н,,,S,НОЙЗ,S m anim nom sg,З
,МС,МС,S m inan nom sg,,,"оказывается , Нойз _МС_ делает не проклятый",с,м,,,,,S,МС,S f inan nom sg,С
,делает,ДЕЛАТЬ,V ipf act praes sg indic - 3p,,,", Нойз МС _делает_ не проклятый рэпчик",т,е,а,л,е,д,V,ДЕЛАТЬ,V ipf praes sg indic - 3p,Ь
,не,НЕ,PART,,,"Нойз МС делает _не_ проклятый рэпчик ,",е,н,,,,,PART,НЕ,PART,Е
,проклятый,ПРОКЛЯТЫЙ,A - nom sg plen m -,,,"МС делает не _проклятый_ рэпчик , а",й,ы,т,я,л,к,A,ПРОКЛЯТЫЙ,A - nom sg plen m -,Й
,рэпчик,РЭПЧИК,S m inan nom sg,,,"делает не проклятый _рэпчик_ , а настоящий",к,и,ч,п,э,р,S,РЭПЧИК,S m inan nom sg,К
,",",",",PUNCT,,,,,,,,,,PUNCT,,,
,а,А,CONJ,,,"проклятый рэпчик , _а_ настоящий  рок",а,,,,,,CONJ,А,CONJ,А
,настоящий,НАСТОЯЩИЙ,A - nom sg plen m -,,,"рэпчик , а _настоящий_  рок -",й,и,щ,я,о,т,A,НАСТОЯЩИЙ,A - nom sg plen m -,Й
